
# Surface 0 of 1 surfaces

# Curve title: ""main_2D_contourtmp0.dat""

# Contour 0, label:      400
 5.0292  3.3683  400 
 4.99018  3.4536  400 
 4.93027  3.5748  400 
 4.908  3.61639  400 
 4.86188  3.696  400 
 4.78679  3.8164  400 
 4.78626  3.8172  400 
 4.69765  3.9384  400 
 4.6656  3.97914  400 
 4.59701  4.0596  400 
 4.54439  4.11696  400 
 4.48089  4.18079  400 
 4.4232  4.23469  400 
 4.34496  4.302  400 
 4.302  4.33636  400 
 4.18401  4.4232  400 
 4.18079  4.4254  400 
 4.0596  4.50114  400 
 3.98414  4.54439  400 
 3.9384  4.56878  400 
 3.8172  4.62759  400 
 3.73119  4.6656  400 
 3.696  4.68006  400 
 3.5748  4.725  400 
 3.4536  4.7657  400 
 3.38368  4.78679  400 
 3.3324  4.80117  400 
 3.2112  4.83148  400 
 3.09  4.85856  400 
 2.9688  4.88266  400 
 2.8476  4.90401  400 
 2.82173  4.908  400 
 2.7264  4.92164  400 
 2.6052  4.93684  400 
 2.484  4.95015  400 
 2.3628  4.96179  400 
 2.2416  4.97196  400 
 2.1204  4.98088  400 
 1.9992  4.98875  400 
 1.878  4.99577  400 
 1.7568  5.00212  400 
 1.6356  5.00799  400 
 1.5144  5.01357  400 
 1.3932  5.01902  400 
 1.272  5.0245  400 
 1.17149  5.0292  400 
 1.1508  5.03009  400 
 1.0296  5.03558  400 
 0.908397  5.04149  400 
 0.787197  5.04794  400 
 0.665997  5.05503  400 
 0.544797  5.06285  400 
 0.423597  5.07147  400 
 0.302397  5.08098  400 
 0.181198  5.09141  400 
 0.0599976  5.10283  400 
-0.0612024  5.11524  400 
-0.182402  5.12867  400 
-0.303602  5.14312  400 
-0.360845  5.15039  400 
-0.424802  5.15785  400 
-0.546002  5.17282  400 
-0.667202  5.18861  400 
-0.788402  5.20517  400 
-0.909602  5.22243  400 
-1.0308  5.24029  400 
-1.152  5.25866  400 
-1.23582  5.2716  400 
-1.2732  5.27689  400 
-1.3944  5.29422  400 
-1.5156  5.31162  400 
-1.6368  5.32893  400 
-1.758  5.34598  400 
-1.8792  5.36259  400 
-2.0004  5.37855  400 
-2.11477  5.39279  400 
-2.1216  5.39358  400 
-2.2428  5.40639  400 
-2.364  5.41796  400 
-2.4852  5.42807  400 
-2.6064  5.43645  400 
-2.7276  5.44284  400 
-2.8488  5.44696  400 
-2.97  5.44851  400 
-3.0912  5.44718  400 
-3.2124  5.44267  400 
-3.3336  5.43463  400 
-3.4548  5.42271  400 
-3.576  5.40657  400 

 2.8476 -4.75634  400 
 2.9688 -4.77242  400 
 3.09 -4.7866  400 
 3.10414 -4.788  400 
 3.2112 -4.7977  400 
 3.3324 -4.80632  400 
 3.4536 -4.81222  400 
 3.5748 -4.81506  400 
 3.696 -4.81447  400 
 3.8172 -4.81009  400 
 3.9384 -4.80152  400 
 4.0596 -4.78835  400 
 4.06192 -4.788  400 
 4.18079 -4.76859  400 
 4.302 -4.74287  400 
 4.4232 -4.71071  400 
 4.54439 -4.6716  400 
 4.55688 -4.6668  400 
 4.6656 -4.62117  400 
 4.78679 -4.56151  400 
 4.81471 -4.5456  400 
 4.908 -4.48733  400 
 4.99588 -4.4244  400 
 5.0292 -4.39814  400 
 5.13521 -4.3032  400 
 5.15039 -4.28816  400 
 5.24542 -4.182  400 
 5.2716 -4.14949  400 
 5.33532 -4.0608  400 
