
# Surface 0 of 1 surfaces

# Curve title: ""main_contourtmp0.dat""

# Contour 0, label:        8
-4 -2.69389  8 
-3.83674 -2.85715  8 
-3.67347 -2.85715  8 
-3.51021 -3.02042  8 
-3.34694 -3.02042  8 
-3.18368 -3.02042  8 
-3.02042 -3.18368  8 
-3.02042 -3.34694  8 
-3.02042 -3.51021  8 
-2.85715 -3.67347  8 
-2.85715 -3.83674  8 
-2.69389 -4  8 


# Contour 1, label:      7.5
 0.571392 -0.538682  7.5 
 0.488172 -0.571456  7.5 
 0.408128 -0.59761  7.5 
 0.244864 -0.676245  7.5 
 0.157215 -0.73472  7.5 
 0.0816002 -0.784738  7.5 
-0.0490297 -0.897984  7.5 
-0.0816638 -0.929893  7.5 
-0.199168 -1.06125  7.5 
-0.244928 -1.12702  7.5 
-0.312137 -1.22451  7.5 
-0.392053 -1.38778  7.5 
-0.408192 -1.43437  7.5 
-0.455988 -1.55104  7.5 
-0.498146 -1.7143  7.5 
-0.519596 -1.87757  7.5 
-0.523646 -2.04083  7.5 
-0.511023 -2.2041  7.5 
-0.479533 -2.36736  7.5 
-0.423801 -2.53062  7.5 
-0.408192 -2.56385  7.5 
-0.355211 -2.69389  7.5 
-0.253229 -2.85715  7.5 
-0.244928 -2.86821  7.5 
-0.126572 -3.02042  7.5 
-0.0816638 -3.06738  7.5 
 0.0488477 -3.18368  7.5 
 0.0816002 -3.21063  7.5 
 0.244864 -3.31967  7.5 
 0.301475 -3.34694  7.5 
 0.408128 -3.40345  7.5 
 0.571392 -3.46195  7.5 
 0.734656 -3.49652  7.5 
 0.866722 -3.51021  7.5 
 0.89792 -3.51467  7.5 
 1.06118 -3.51741  7.5 
 1.12531 -3.51021  7.5 
 1.22445 -3.50225  7.5 
 1.38771 -3.47256  7.5 
 1.55098 -3.42068  7.5 
 1.69848 -3.34694  7.5 
 1.71424 -3.3399  7.5 
 1.8775 -3.243  7.5 
 1.95218 -3.18368  7.5 
 2.04077 -3.1086  7.5 
 2.12763 -3.02042  7.5 
 2.20403 -2.926  7.5 
 2.25704 -2.85715  7.5 
 2.35176 -2.69389  7.5 
 2.3673 -2.65722  7.5 
 2.4281 -2.53062  7.5 
 2.47894 -2.36736  7.5 
 2.50759 -2.2041  7.5 
 2.51906 -2.04083  7.5 
 2.5153 -1.87757  7.5 
 2.49565 -1.7143  7.5 
 2.45677 -1.55104  7.5 
 2.39191 -1.38778  7.5 
 2.3673 -1.342  7.5 
 2.31004 -1.22451  7.5 
 2.20403 -1.07547  7.5 
 2.19366 -1.06125  7.5 
 2.04395 -0.897984  7.5 
 2.04077 -0.894911  7.5 
 1.8775 -0.757717  7.5 
 1.84117 -0.73472  7.5 
 1.71424 -0.652054  7.5 
 1.55098 -0.581439  7.5 
 1.51774 -0.571456  7.5 
 1.38771 -0.523339  7.5 
 1.22445 -0.488276  7.5 
 1.06118 -0.473508  7.5 
 0.89792 -0.476409  7.5 
 0.734656 -0.496911  7.5 
 0.571392 -0.538682  7.5 

-2.36736  2.53347  7.5 
-2.37608  2.53056  7.5 
-2.53062  2.49019  7.5 
-2.69389  2.42158  7.5 
-2.78535  2.3673  7.5 
-2.85715  2.32761  7.5 
-3.01765  2.20403  7.5 
-3.02042  2.20179  7.5 
-3.18368  2.04107  7.5 
-3.18396  2.04077  7.5 
-3.31356  1.8775  7.5 
-3.34694  1.82001  7.5 
-3.41188  1.71424  7.5 
-3.48145  1.55098  7.5 
-3.51021  1.44793  7.5 
-3.53132  1.38771  7.5 
-3.56762  1.22445  7.5 
-3.58334  1.06118  7.5 
-3.58108  0.89792  7.5 
-3.56063  0.734656  7.5 
-3.51836  0.571392  7.5 
-3.51021  0.549861  7.5 
-3.467  0.408128  7.5 
-3.38878  0.244864  7.5 
-3.34694  0.179637  7.5 
-3.28663  0.0816002  7.5 
-3.18368 -0.0435164  7.5 
-3.14969 -0.0816638  7.5 
-3.02042 -0.205275  7.5 
-2.96942 -0.244928  7.5 
-2.85715 -0.329244  7.5 
-2.70862 -0.408192  7.5 
-2.69389 -0.416745  7.5 
-2.53062 -0.491895  7.5 
-2.36736 -0.538332  7.5 
-2.2041 -0.564537  7.5 
-2.09805 -0.571456  7.5 
-2.04083 -0.576843  7.5 
-1.87757 -0.571747  7.5 
-1.87567 -0.571456  7.5 
-1.7143 -0.553824  7.5 
-1.55104 -0.518667  7.5 
-1.38778 -0.459955  7.5 
-1.28852 -0.408192  7.5 
-1.22451 -0.3784  7.5 
-1.06125 -0.272486  7.5 
-1.02681 -0.244928  7.5 
-0.897984 -0.135121  7.5 
-0.8453 -0.0816638  7.5 
-0.73472  0.0540775  7.5 
-0.713335  0.0816002  7.5 
-0.609398  0.244864  7.5 
-0.571456  0.330567  7.5 
-0.532343  0.408128  7.5 
-0.474006  0.571392  7.5 
-0.439185  0.734656  7.5 
-0.421936  0.89792  7.5 
-0.419422  1.06118  7.5 
-0.431488  1.22445  7.5 
-0.460365  1.38771  7.5 
-0.511789  1.55098  7.5 
-0.571456  1.67301  7.5 
-0.588676  1.71424  7.5 
-0.682688  1.8775  7.5 
-0.73472  1.94532  7.5 
-0.809809  2.04077  7.5 
-0.897984  2.13223  7.5 
-0.978456  2.20403  7.5 
-1.06125  2.27223  7.5 
-1.21506  2.3673  7.5 
-1.22451  2.37341  7.5 
-1.38778  2.45997  7.5 
-1.55104  2.51407  7.5 
-1.62929  2.53056  7.5 
-1.7143  2.55403  7.5 
-1.87757  2.57823  7.5 
-2.04083  2.58288  7.5 
-2.2041  2.56874  7.5 
-2.36736  2.53347  7.5 

 1.55098  3.3739  7.5 
 1.4877  3.34688  7.5 
 1.38771  3.30988  7.5 
 1.22445  3.21944  7.5 
 1.17484  3.18362  7.5 
 1.06118  3.09874  7.5 
 0.977506  3.02035  7.5 
 0.89792  2.93251  7.5 
 0.835819  2.85709  7.5 
 0.735578  2.69382  7.5 
 0.734656  2.69186  7.5 
 0.652226  2.53056  7.5 
 0.600529  2.3673  7.5 
 0.571392  2.20538  7.5 
 0.571075  2.20403  7.5 
 0.553925  2.04077  7.5 
 0.558414  1.8775  7.5 
 0.571392  1.79798  7.5 
 0.581546  1.71424  7.5 
 0.620467  1.55098  7.5 
 0.686112  1.38771  7.5 
 0.734656  1.30394  7.5 
 0.777785  1.22445  7.5 
 0.89792  1.06793  7.5 
 0.903444  1.06118  7.5 
 1.06118  0.903558  7.5 
 1.06808  0.89792  7.5 
 1.22445  0.778119  7.5 
 1.30466  0.734656  7.5 
 1.38771  0.686681  7.5 
 1.55098  0.621042  7.5 
 1.71424  0.58203  7.5 
 1.80162  0.571392  7.5 
 1.8775  0.558986  7.5 
 2.04077  0.554349  7.5 
 2.20403  0.571344  7.5 
 2.20424  0.571392  7.5 
 2.3673  0.60065  7.5 
 2.53056  0.652295  7.5 
 2.69182  0.734656  7.5 
 2.69382  0.7356  7.5 
 2.85709  0.835829  7.5 
 2.9325  0.89792  7.5 
 3.02035  0.977509  7.5 
 3.09874  1.06118  7.5 
 3.18362  1.17484  7.5 
 3.21944  1.22445  7.5 
 3.30988  1.38771  7.5 
 3.34688  1.4877  7.5 
 3.3739  1.55098  7.5 
 3.42039  1.71424  7.5 
 3.44388  1.8775  7.5 
 3.44835  2.04077  7.5 
 3.43466  2.20403  7.5 
 3.40047  2.3673  7.5 
 3.34688  2.51391  7.5 
 3.34174  2.53056  7.5 
 3.26991  2.69382  7.5 
 3.18362  2.82415  7.5 
 3.16168  2.85709  7.5 
 3.02035  3.01896  7.5 
 3.01896  3.02035  7.5 
 2.85709  3.16168  7.5 
 2.82415  3.18362  7.5 
 2.69382  3.26991  7.5 
 2.53056  3.34174  7.5 
 2.51391  3.34688  7.5 
 2.3673  3.40047  7.5 
 2.20403  3.43466  7.5 
 2.04077  3.44835  7.5 
 1.8775  3.44388  7.5 
 1.71424  3.42039  7.5 
 1.55098  3.3739  7.5 


# Contour 2, label:        7
 1.06118 -0.732125  7 
 0.922695 -0.73472  7 
 0.89792 -0.735071  7 
 0.734656 -0.756533  7 
 0.571392 -0.800785  7 
 0.408128 -0.875408  7 
 0.371462 -0.897984  7 
 0.244864 -0.976644  7 
 0.144494 -1.06125  7 
 0.0816002 -1.1225  7 
-0.0077796 -1.22451  7 
-0.0816638 -1.33682  7 
-0.114273 -1.38778  7 
-0.191212 -1.55104  7 
-0.2371 -1.7143  7 
-0.244928 -1.76677  7 
-0.265259 -1.87757  7 
-0.2711 -2.04083  7 
-0.25323 -2.2041  7 
-0.244928 -2.23676  7 
-0.217198 -2.36736  7 
-0.157107 -2.53062  7 
-0.0816638 -2.66216  7 
-0.0634671 -2.69389  7 
 0.0636017 -2.85715  7 
 0.0816002 -2.87614  7 
 0.244864 -3.01937  7 
 0.246391 -3.02042  7 
 0.408128 -3.12624  7 
 0.545707 -3.18368  7 
 0.571392 -3.19531  7 
 0.734656 -3.24575  7 
 0.89792 -3.27022  7 
 1.06118 -3.27296  7 
 1.22445 -3.25417  7 
 1.38771 -3.21086  7 
 1.45248 -3.18368  7 
 1.55098 -3.14602  7 
 1.71424 -3.05087  7 
 1.75443 -3.02042  7 
 1.8775 -2.91857  7 
 1.9378 -2.85715  7 
 2.04077 -2.72577  7 
 2.06401 -2.69389  7 
 2.15621 -2.53062  7 
 2.20403 -2.39679  7 
 2.21576 -2.36736  7 
 2.25706 -2.2041  7 
 2.27365 -2.04083  7 
 2.26824 -1.87757  7 
 2.23982 -1.7143  7 
 2.20403 -1.60565  7 
 2.18833 -1.55104  7 
 2.11564 -1.38778  7 
 2.04077 -1.27449  7 
 2.0062 -1.22451  7 
 1.8775 -1.08263  7 
 1.85426 -1.06125  7 
 1.71424 -0.948057  7 
 1.62802 -0.897984  7 
 1.55098 -0.852974  7 
 1.38771 -0.786959  7 
 1.22445 -0.749028  7 
 1.0816 -0.73472  7 
 1.06118 -0.732125  7 

-2.53062  2.2319  7 
-2.58333  2.20403  7 
-2.69389  2.14876  7 
-2.84206  2.04077  7 
-2.85715  2.02894  7 
-3.01143  1.8775  7 
-3.02042  1.86664  7 
-3.13589  1.71424  7 
-3.18368  1.62403  7 
-3.22388  1.55098  7 
-3.28675  1.38771  7 
-3.32277  1.22445  7 
-3.33844  1.06118  7 
-3.33617  0.89792  7 
-3.31576  0.734656  7 
-3.27382  0.571392  7 
-3.20279  0.408128  7 
-3.18368  0.375431  7 
-3.10939  0.244864  7 
-3.02042  0.132395  7 
-2.97596  0.0816002  7 
-2.85715 -0.0310276  7 
-2.78929 -0.0816638  7 
-2.69389 -0.149192  7 
-2.53062 -0.23053  7 
